college_name,college_link,duration,fees,rank,placement,c_type
"University of Petroleum and Energy Studies (UPES), Dehradun",https://www.collegesearch.in/university/university-of-petroleum-and-energy-studies-upes-dehradun,4 Years,"Rs 15,72,000/-",,"Average -Rs.
                                5.3 L.P.A/-Highest -Rs.
                                17 L.P.A/-",
"Shanmugha Arts, Science, Technology & Research Academy (SASTRA University), Thanjavur",https://www.collegesearch.in/university/shanmugha-arts-science-technology-research-academy-sastra-university,4 Years,"Rs 5,80,314/-",,"Average -Rs.
                                4.5 L.P.A/-Highest -Rs.
                                15 L.P.A/-",Deemed
Mar Athanasius College of Engineering,https://www.collegesearch.in/colleges/mar-athanasius-college-of-engineering,4 Years,"Rs 51,925/-",,"Average -Rs.
                                4.0 L.P.A/-",
"Indian Institute of Technology (IIT), Indore",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-indore,4 Years,"Rs 8,34,800/-",,"Average -Rs.
                                16 L.P.A/-Highest -Rs.
                                36.48 L.P.A/-",Autonomous
"Dr Mahalingam College of Engineering & Technology, Coimbatore",https://www.collegesearch.in/colleges/dr-mahalingam-college-of-engineering-technology-coimbatore,4 Years,,,"Average -Rs.
                                2.4 L.P.A/-Highest -Rs.
                                2.7 L.P.A/-",
"Sree Chitra Thirunal College of Engineering, Thiruvananthapuram",https://www.collegesearch.in/colleges/sree-chitra-thirunal-college-of-engineering-thiruvananthapuram,4 Years,"Rs 3,60,000/-",,,
"Amity University, Noida",https://www.collegesearch.in/university/amity-university-noida,4 Years,"Rs 4,50,600/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                18 L.P.A/-",State Private University
"Kalyani Government Engineering College (KGEC), Kolkata",https://www.collegesearch.in/colleges/kalyani-government-engineering-college-kgec,4 Years,"Rs 40,620/-",,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                4.5 L.P.A/-",
"Madras Institute of Technology (MIT), Chennai",https://www.collegesearch.in/colleges/madras-institute-of-technology-mit-chennai,4 Years,"Rs 2,08,640/-",,,
"Birla Institute of Technology & Science (BITS), Hyderabad",https://www.collegesearch.in/colleges/birla-institute-of-technology-science-bits-hyderabad,4 Years,"Rs 24,68,900/-",,,Autonomous
